X,y
-100.0,-10000.0
-99.89994997498749,-9980.000005005004
-99.79989994997499,-9960.020030025018
-99.69984992496248,-9940.06007506004
-99.59979989994997,-9920.120140110075
-99.49974987493746,-9900.200225175118
-99.39969984992496,-9880.300330255172
-99.29964982491245,-9860.420455350235
-99.19959979989996,-9840.560600460312
-99.09954977488745,-9820.720765585394
-98.99949974987494,-9800.900950725489
-98.89944972486244,-9781.101155880593
-98.79939969984993,-9761.321381050706
-98.69934967483742,-9741.561626235829
-98.59929964982491,-9721.821891435964
-98.4992496248124,-9702.102176651108
-98.3991995997999,-9682.402481881261
-98.29914957478739,-9662.722807126425
-98.19909954977489,-9643.063152386598
-98.09904952476238,-9623.423517661782
-97.99899949974987,-9603.803902951975
-97.89894947473736,-9584.20430825718
-97.79889944972486,-9564.624733577393
-97.69884942471235,-9545.065178912617
-97.59879939969986,-9525.525644262852
-97.49874937468735,-9506.006129628096
-97.39869934967484,-9486.50663500835
-97.29864932466234,-9467.027160403615
-97.19859929964983,-9447.567705813888
-97.09854927463732,-9428.128271239171
-96.99849924962481,-9408.708856679466
-96.8984492246123,-9389.30946213477
-96.7983991995998,-9369.930087605084
-96.69834917458729,-9350.570733090406
-96.59829914957479,-9331.23139859074
-96.49824912456228,-9311.912084106085
-96.39819909954977,-9292.612789636438
-96.29814907453726,-9273.333515181803
-96.19809904952476,-9254.074260742176
-96.09804902451225,-9234.83502631756
-95.99799899949976,-9215.615811907956
-95.89794897448725,-9196.41661751336
-95.79789894947474,-9177.237443133774
-95.69784892446224,-9158.078288769198
-95.59779889944973,-9138.939154419631
-95.49774887443722,-9119.820040085075
-95.39769884942471,-9100.72094576553
-95.2976488244122,-9081.641871460994
-95.1975987993997,-9062.582817171467
-95.09754877438719,-9043.543782896952
-94.99749874937469,-9024.524768637444
-94.89744872436218,-9005.525774392949
-94.79739869934967,-8986.546800163464
-94.69734867433716,-8967.587845948987
-94.59729864932466,-8948.64891174952
-94.49724862431216,-8929.729997565068
-94.39719859929966,-8910.831103395622
-94.29714857428715,-8891.952229241186
-94.19709854927464,-8873.093375101758
-94.09704852426214,-8854.254540977343
-93.99699849924963,-8835.435726867936
-93.89694847423712,-8816.636932773541
-93.79689844922461,-8797.858158694155
-93.6968484242121,-8779.099404629778
-93.5967983991996,-8760.360670580412
-93.49674837418709,-8741.641956546056
-93.39669834917459,-8722.94326252671
-93.29664832416208,-8704.264588522376
-93.19659829914957,-8685.605934533049
-93.09654827413706,-8666.967300558732
-92.99649824912456,-8648.348686599427
-92.89644822411205,-8629.750092655131
-92.79639819909956,-8611.171518725847
-92.69634817408705,-8592.612964811571
-92.59629814907454,-8574.074430912306
-92.49624812406203,-8555.55591702805
-92.39619809904953,-8537.057423158803
-92.29614807403702,-8518.578949304567
-92.19609804902451,-8500.120495465342
-92.096048024012,-8481.682061641126
-91.9959979989995,-8463.26364783192
-91.89594797398699,-8444.865254037724
-91.79589794897448,-8426.486880258539
-91.69584792396198,-8408.128526494362
-91.59579789894947,-8389.790192745197
-91.49574787393696,-8371.47187901104
-91.39569784892447,-8353.173585291897
-91.29564782391196,-8334.895311587761
-91.19559779889946,-8316.637057898635
-91.09554777388695,-8298.39882422452
-90.99549774887444,-8280.180610565414
-90.89544772386193,-8261.982416921317
-90.79539769884943,-8243.804243292232
-90.69534767383692,-8225.646089678155
-90.59529764882441,-8207.507956079091
-90.4952476238119,-8189.389842495035
-90.3951975987994,-8171.291748925989
-90.29514757378689,-8153.213675371952
-90.19509754877438,-8135.155621832927
-90.09504752376188,-8117.117588308911
-89.99499749874937,-8099.099574799905
-89.89494747373686,-8081.101581305909
-89.79489744872436,-8063.123607826924
-89.69484742371185,-8045.165654362948
-89.59479739869936,-8027.227720913985
-89.49474737368685,-8009.309807480029
-89.39469734867434,-7991.411914061084
-89.29464732366183,-7973.534040657148
-89.19459729864933,-7955.676187268222
-89.09454727363682,-7937.838353894306
-88.99449724862431,-7920.020540535401
-88.8944472236118,-7902.222747191505
-88.7943971985993,-7884.444973862619
-88.69434717358679,-7866.687220548743
-88.59429714857428,-7848.949487249877
-88.49424712356178,-7831.231773966022
-88.39419709854927,-7813.534080697176
-88.29414707353676,-7795.856407443341
-88.19409704852427,-7778.198754204517
-88.09404702351176,-7760.561120980702
-87.99399699849926,-7742.943507771896
-87.89394697348675,-7725.345914578101
-87.79389694847424,-7707.7683413993145
-87.69384692346173,-7690.210788235539
-87.59379689844923,-7672.673255086774
-87.49374687343672,-7655.155741953018
-87.39369684842421,-7637.658248834272
-87.2936468234117,-7620.180775730537
-87.1935967983992,-7602.723322641811
-87.09354677338669,-7585.285889568096
-86.99349674837418,-7567.868476509389
-86.89344672336168,-7550.471083465694
-86.79339669834917,-7533.093710437009
-86.69334667333666,-7515.736357423333
-86.59329664832416,-7498.399024424668
-86.49324662331166,-7481.081711441015
-86.39319659829916,-7463.784418472369
